Nombre,SKU,Precio FOB (USD),Precio Final (USD),Precio Final (Pesos),CBM por Caja,Piezas por Caja,Cajas por Contenedor,Piezas por Contenedor,Contenedores Necesarios,CBM Total,Peso por Caja (kg),Peso Total (kg),Cantidad Total,Costo Total (USD),Costo Total (Pesos),Flete por Producto (USD),Gastos Fijos por Producto (USD),Largo (cm),Ancho (cm),Alto (cm),DDI (%)
PACKING TAPE 40 mic x 48mm x 100 Mts. ,CIN-100M,0.29,0.3595999999999999,474.6719999999999,0.0006612499999999999,1,105860,105860,0.23804999999999998,16.6635,0.2233333333333333,5627.999999999999,25200,9061.919999999998,11961734.399999999,0,0,8.712080807893425,8.712080807893425,8.712080807893425,16.0
 120 Bolsas OOOGY 15mic OOOGY 65% PCR,DPB,0.92024,1.1595023999999998,1530.5431679999997,0.0008058671874999999,1,86862,86862,0.13649087678571428,9.554361375,0.3125,3705.0,11856,13747.060454399998,18146119.799807996,0,0,9.305816639127421,9.305816639127421,9.305816639127421,18.0
Training Pads OOOGY 56*56 (40GR / 4 SAP ) Premium 20 PCS,PAD-20,1.054,1.5072199999999998,1989.5303999999996,0.004956,1,14124,14124,0.07115400000000001,4.98078,0.8733333333333333,877.6999999999999,1005,1514.7560999999998,1999478.0519999997,0,0,17.049452314831896,17.049452314831896,17.049452314831896,35.0
Training Pads OOOGY 56*56 (40GR / 4 SAP ) Premium 50 PCS,PAD-50,2.492,3.56356,4703.8992,0.012390000000000002,1,5649,5649,0.28355400000000003,19.84878,2.183333333333333,3497.7,1602,5708.82312,7535646.5184,0,0,23.139666858337254,23.139666858337254,23.139666858337254,35.0
"Nylon Trimmer Line 3.0 Cuadrado 1,35 KG Naranja",TAN-NAR,4.0928,5.0750720000000005,6699.095040000001,0.005415,1,12927,12927,0.1083,7.5809999999999995,1.75,2450.0,1400,7105.100800000001,9378733.056000002,0,0,17.560335954192652,17.560335954192652,17.560335954192652,16.0
"Nylon Trimmer Line 2.4 Redondo 1,35 KG Amarillo",TAN-AMA,4.0928,5.0750720000000005,6699.095040000001,0.0040058333333333335,1,17474,17474,0.041202857142857145,2.8842000000000003,1.1666666666666667,840.0,720,3654.0518400000005,4823348.428800001,0,0,15.881723304517255,15.881723304517255,15.881723304517255,16.0
SILICON TUMBLER TYESO,TS-8102,0.41,0.5084,671.088,0.00022648888888888888,1,309065,309065,0.0023296,0.163072,0.027777777777777776,20.0,720,366.048,483183.36,0,0,6.095588397525956,6.095588397525956,6.095588397525956,16.0
VASO MUG 12OZ / 350 ML,MUG-NEG,3.49,4.397399999999999,5804.567999999999,0.0015904799999999998,1,44011,44011,0.022721142857142856,1.59048,0.336,336.0,1000,4397.4,5804567.999999999,0,0,11.672827584979762,11.672827584979762,11.672827584979762,18.0
CUSHION BAG 0.06*240*415mm BOTELLA 750ML,CUS-B1,0.0665,0.08246,108.8472,5.843750000000001e-05,1,1197860,1197860,0.008348214285714287,0.5843750000000001,0.0252,252.0,10000,824.6,1088472.0,0,0,3.880585078453967,3.880585078453967,3.880585078453967,16.0
Etiquetas Termicas 100x150 - 12mic - 250 pcs roll,ETI-01,1.1,1.3639999999999999,1800.4799999999998,0.0008008593750000001,1,87406,87406,0.0009152678571428572,0.06406875000000001,0.5,40.0,80,109.11999999999999,144038.4,0,0,9.286500532184725,9.286500532184725,9.286500532184725,16.0
